Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
87,tt1190080,2019-01-28,2019-01-28,,2012,https://www.imdb.com/title/tt1190080/,movie,5.8,158,2009,"Action, Adventure, Sci-Fi",367177,2009-11-11,Roland Emmerich,,
88,tt5083738,2019-01-30,2019-01-30,,The Favourite,https://www.imdb.com/title/tt5083738/,movie,7.5,119,2018,"Biography, Comedy, Drama, History",189031,2018-08-30,Yorgos Lanthimos,,
89,tt3110958,2019-02-13,2019-02-13,,Now You See Me 2,https://www.imdb.com/title/tt3110958/,movie,6.5,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",271179,2016-06-02,Jon M. Chu,,
90,tt0363163,2019-02-16,2019-02-16,,Der Untergang,https://www.imdb.com/title/tt0363163/,movie,8.2,156,2004,"Biography, Drama, History, War",345070,2004-09-08,Oliver Hirschbiegel,,
91,tt0365737,2019-02-20,2019-02-20,,Syriana,https://www.imdb.com/title/tt0365737/,movie,6.9,128,2005,"Drama, Thriller",128830,2005-11-23,Stephen Gaghan,,
92,tt3381008,2019-02-22,2019-02-22,,Grimsby,https://www.imdb.com/title/tt3381008/,movie,6.2,83,2016,"Action, Adventure, Comedy, Crime, Thriller",98668,2016-02-24,Louis Leterrier,,
93,tt0052618,2019-03-04,2019-03-04,,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",231244,1959-11-18,William Wyler,,
94,tt6343314,2019-03-11,2019-03-11,,Creed II,https://www.imdb.com/title/tt6343314/,movie,7.1,130,2018,"Drama, Sport",117173,2018-11-14,Steven Caple Jr.,,
95,tt1486217,2019-03-16,2019-03-16,,Archer,https://www.imdb.com/title/tt1486217/,tvSeries,8.6,22,2009,"Animation, Action, Comedy",147437,2009-09-17,,,
96,tt0804503,2019-03-16,2019-03-16,,Mad Men,https://www.imdb.com/title/tt0804503/,tvSeries,8.6,47,2007,Drama,224509,2007-07-19,,,
97,tt1489428,2019-03-16,2019-03-16,,Justified,https://www.imdb.com/title/tt1489428/,tvSeries,8.6,44,2010,"Action, Crime, Drama, Mystery, Thriller, Western",93612,2010-03-16,,,
98,tt0458290,2019-04-14,2019-04-14,,Star Wars: The Clone Wars,https://www.imdb.com/title/tt0458290/,tvSeries,8.3,23,2008,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",78166,2008-08-15,,,
